Sentiment|Review
+|the possibilities with auto , manual , and the very helpful " scene " mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset etc. , are endless . 
+|the movie mode is also working great . 
+|the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery charger , usb and video cable . 
+|i experimented with online print ordering with the two major us brick and mortar retailers , and they both delivered great results . 
+|even at the " normal " setting , a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a " digital " . 
+|the battery life is ok , but can be somewhat short when working a lot with the monitor on . 
+|over all a fantastic very compact camera , which made us experience photography on a totally new level ! 
-|focusing on a display rack about 20 feet away in a brightly lit room during day time , pictures produced by this camera were blurry and in a shade of orange . 
+|after nearly 800 pictures i have found that this nikon takes incredible pictures . 
+|the digital zoom takes as good of pictures , as the optical zoom does ! 
-|the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective . 
+|i love all of the features , and presets as well . 
+|sunset feature takes incredible pics in the morning , and the evening ! 
+|the software you get with this camera is perfect . 
+|touchups , redeye , and so on are very easy to alter , and correct . 
+|battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have . 
+|all and all , i am extremely pleased with this camera . 
+|great camera , great investment ! 
+|the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size . 
+|the auto setting does a great job most of the time but there are manual settings for those who want them . 
+|it has many great features and very few bad ones . 
+|it takes excellent pics and is very easy to use , if you read the manual . 
-|the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too . 
+|downloads are a snap and quick . 
+|controls easy yo use and easy to get to . 
+|i 'm extremely glad i bought this camera . 
+|really happy with this little camera . 
+|it is n't big and offensive , though you would n't know it by looking at the pics it takes . 
+|settings for just about everything , beautiful pics and beautiful prints . 
+|i expected the 12x digital zoom to be grainy , but onfull size high to fine quality , the zoomed images are quite impressive . 
+|still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! 
+|this is a wonderful camera . 
+|4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . 
+|one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting . 
+|this little camera has created a marriage between myself and nikon. never knew i could love a digital camera so much . 
+|the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner . 
+|just point and shoot and the photos were great . 
+|the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla . 
+|if you have to buy a camera on a buget, this has got to be the one . 
+|great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc. 
+|this is my first digital camera and i can say that i am quite impressed with the features that it has . 
+|it is easy enough to use for a beginner like me but it has plenty of features for me to grow into . 
+|i particularly like the way it aids me in taking my macro shots . 
+|my friends were impressed with the quality of the pictures i took ! 
-|one downside though is that autofocus does not work well when battery is low . 
+|battery life is ok . 
+|great camera , and for the price you can 't beat it . 
+|i found the controls very intuitive and learned how to manuver through the menus quickly . 
+|the quality is superb . 
+|the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person . 
+|the 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust . 
-|it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot . 
-|it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light . 
-|it has a 3x optical zoom , which is average for these cameras . 
+|it really is an awesome camera that is hard to beat for general-to moderate snapping . 
+|they take excellent macro shots as well . 
+|the menus and features are easy to manipulate and access , and it takes silent movies . 
+|i compared this to a lot of other cameras , believe me , it 's value for money . 
+|the picturers are amazing . 
+|recently bought this coolpix 4300 along with a 256mb ultra flash card . as expected , i happily found that qualities of the picture are excellent with 3m-4m pixel / fine combos and many of the user-friendly functions are very similar to slr models , and with added convenience of a digital camera that you can see pictures immediately . 
+|i particularly like the " txt " file which records all the control information for all the pictures you take. 
+|the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them . 
+|a nikon will make you happier and leave you lots of good memories , as always . 
+|i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate . 
+|we take this camera with us everywhere and are constantly amazed at the quality of the pictures that we get and the number of different ways the camera allows for pictures to be taken . 
+|i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down.now buy it ! 
+|i have it for a week now , and this camera has exceeded my expectations . 
+|the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away . 
+|uploading the images to my windows-based pc is very fast and simple . 
-|the only drawbacks i 've encountered are : 1 indoor shots from a distance > 8ft lack contrast and color , but i 've found this to be a problem with all cameras with built-in flashes that i 've used even on a nikon slr . 
-|2 the battery life seems to be on the short side but adequate for most situations . 
-|3 the picture editing software it came with is adequate , but not very robust . 
+|in summary , i love this camera and would whole-heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range . 
+|great camera . 
+|i am impressed with how easy this camera is to use . 
+|it takes great pictures . 
+|the manual is easy to understand , and it is mostly idiot proof . 
+|it is small , unlike my canon slr , so it easily fits in my pocket . 
+|i got this camera about a month ago and i can 't put it down . 
+|i selected the 4300 right away and have gotten high quality pictures every time . 
+|autofocus feels exactly like my film camera while scene and manual mode add a little fun challenge to it all . 
+|i have not been disappointed with my purchase . 
+|picture quality in outdoor settings is indistinguishable from 35mm . 
-|on average , indoor shots with a flash are not quite as good as 35mm . 
+|i am extremely satisfied with this camera . 
+|the " scene " mode works well for the remainder of shots that are not going to be in a " regular " setting . 
+|however , its 3x optical setting is acceptable for 70 % of the shots that i take . 
+|if you 're looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 ! 
+|after a lengthy and extensive journey for a feature-loaded , high performance , travel size camera , i initially gravitated to this little gem because of the superior picture quality 4 mega pixel . 
+|after using it for about a month , i can state unequivocably that this nikon definitely delivers a huge bang for the buck . 
+|its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake . 
+|yes , the picture quality and features which are too numerous to mention are unmatched for any camera in this price range . 
+|the design and construction are excellent -- as is the legendary quality of the nikon optics . 
+|there are so many functions in this little , yet powerful camera ! 
+|seriously ! i love it ! 
+|but this camera is great ! 
+|the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to . 
+|it does have a lense cap , but it wo n't let you take pics with it on which is real good . 
+|the battery recharges ral fast and the recharger thingy that comes with is real nice . 
+|ooh , and i dropped it and it still works fine : this little camera has so many features i have n't even gotten to all of them yet . 
+|it 's easy for beginners to use , but has features that more serious photographers will love , so it 's an excellent camera to grow into . 
+|it 's light weight enough to take with you everywhere , but powerful enough to get outstanding pix . 
+|i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots . 
+|i 'm amazed at the photo quality -- prints are indistinguishable from 35mm prints . 
-|i only have one complaint , and that is the 8mb card included . 
-|8mb for a camera like this is a joke . 
+|1 it has all the features an amatuer photo-enthusiast would want . 
+|2 it is easy enough for my grandmother to use . 
+|3 it is very compact but the controls are so well designed that they 're still easy to use . 
+|6 the nikon coolpix line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model . 
+|7 picture quality is excellent . 
+|8 battery life is excellent . 
+|9 3x built-in optical zoom is a lot for this price range . 
+|10 great price for all the features . 
-|1 no direct firewire to the camera . 
-|2 the camera is so small that when you attach some lenses i have the 19mm wide-angle -- wc-e 68 , the optical viewfinder is partially obscured . 
+|this camera was affordable , very easy to learn , and produces spectacular images . 
+|the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual . 
+|it 's size also makes it ideal for travel . 
+|overall the nikon 4300 is a very dependable , robust , and useful little camera . 
+|awesome camera with huge print quality in a tiny package . 
+|the same 4mp chip from the 4500 camera , plus a 3x zoom with the ability to expand upon that with extenders , great closeup mode , long lasting rechargable battery , etc etc. 
+|in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use , small good for travel , and provides excellent , sharp images . 
