Tweet,Processed
"Following fashion brands and independent beauty founders, major beauty companies are now getting in on the NFT craze. https://t.co/5vxgjpz4xl",following fashion brands independent beauty founders major beauty companies getting craze
The NFT craze now includes major beauty brands https://t.co/xmFUMYtyvT,craze includes major beauty brands
What makes a brand NFT a hit or miss? https://t.co/OyTv7M4MBt,makes brand hit miss
"More than a dozen nail artists, fashion and beauty brands, including multiple perfume companies, have launched non-fungible tokens (NFTs) over the past few months. E.l.f. Cosmetics was the latest to sell out of an initial NFT line in June. https://t.co/kM5GCQsBLU",dozen nail artists fashion beauty brands including multiple perfume companies launched non fungible tokens past months e l f cosmetics latest sell initial line june
"The NFT market has boomed in the last six months, moving from the world of art to fashion. Brands like Gucci and designers like Jeff Staple have started selling their own virtual products. https://t.co/NJqTQJtAbN",market boomed six months moving world art fashion brands like gucci designers like jeff staple started selling virtual products
"If you're not wearing Balenciaga in the Metaverse, what are you even doing? https://t.co/Zmb9bNvT14",youre wearing balenciaga even
"Reactions to BAPE's new NFT include ""Make it stop."" https://t.co/Dgk77AvX3G",reactions bapes new include make stop
"Reactions to BAPE's new NFT include ""Make it stop."" https://t.co/EmVt9dD1km",reactions bapes new include make stop
"This isn’t exactly a case of the giant vs. the little guy, but this fight over NFT ownership has major ramifications for the industry. https://t.co/h0RChMlKMT",exactly case giant vs little guy fight ownership major ramifications industry
"Gucci's plunge into metaverse seems to beckon: come on in, the water's fine! https://t.co/CCbRbnqYpd",guccis plunge seems beckon come waters fine
"Philipp Plein will soon invade the metaverse with ""Plein Plaza,"" a $1.4 million plot in Decentraland. https://t.co/87BXYixIMS",philipp plein soon invade plein plaza 1 4 million plot decentraland
What do you love or hate about the NFT space? 🧐,love hate space
"The metaverse is a hill that Mark Zuckerberg won't stop running up. In fact, it's a hill the humanoid CEO might just die on it. https://t.co/SRt1mEEQsP",hill mark zuckerberg wont stop running fact hill humanoid ceo might die
"In this interview from our 2022 Footwear Vanguards series, we speak to Joey Khamis, who is putting his innovative designs into a whole new metaverse. https://t.co/Vr7EVX4u4k",interview 2022 footwear vanguards series speak joey khamis putting innovative designs whole new
"After bots swatted the initial drop, Gucci and @superplastic are rearranging their NFT drop. https://t.co/z3ZC1jFwy0",bots swatted initial drop gucci rearranging drop
"The metaverse is a hill that Mark Zuckerberg won't stop running up. In fact, it's a hill the humanoid CEO might just die on it. https://t.co/fFLOlnyB7H",hill mark zuckerberg wont stop running fact hill humanoid ceo might die
Justin Bieber just purchased an NFT for $1.3 million. No big deal. https://t.co/Ev6wmxJqzG,justin bieber purchased 1 3 million big deal
To the moon: Lamborghini's first NFT collection is appropriately space-themed. https://t.co/ozmC2HKcjk,moon lamborghinis collection appropriately space themed
"Our Moon Boot NFT auction is closed via @SuperRare. 🤠⁠ But not to worry y'all, you can cop a pair of boots with a matching sweater tomorrow at 9 AM EST / 3 PM CET via Highsnobiety Shop.⁠ https://t.co/0iMI8y7rpT",moon boot auction closed via worry yall cop pair boots matching sweater tomorrow 9 est 3 pm cet via highsnobiety shop
"Enter our collaborative Moon Boot NFT auction now, via @SuperRare: https://t.co/CaSXvs8xh9 ⏰",enter collaborative moon boot auction via
"Blockchain has been a foundation of MCQ's creative community, so the creation of its first NFT collection makes perfect sense. https://t.co/CDwogQX1Jf",blockchain foundation mcqs creative community creation collection makes perfect sense
"Highsnobiety has officially entered the NFT game. After reporting on the rise of the NFT in the fashion space, it only felt fitting that we made our own. https://t.co/cAyyjJ0A5w",highsnobiety officially entered game reporting rise fashion space felt fitting made
"Highsnobiety has officially entered the NFT game. After reporting on the rise of the NFT in the fashion space, it only felt fitting that we made our own. https://t.co/C53GjFQVOq",highsnobiety officially entered game reporting rise fashion space felt fitting made
"We've teamed up with Moon Boot and @SuperRare  to create 3 unique NFTs available January 24 at 9 AM EST / 3 PM CET. 🤠✨

With each NFT purchase you'll also cop a pair of matching moon boots, and a Highsnobiety Alpaca Sweater.

https://t.co/OQ6QgXB66G",weve teamed moon boot create 3 unique available january 24 9 est 3 pm cet purchase youll cop pair matching moon boots highsnobiety alpaca sweater
"Prada's first NFT is adidas' second, and it's driven entirely by the community. https://t.co/zf4SUyosh6",pradas adidas second driven entirely community
Howdy! We've teamed up with Moon Boot to take you to new frontiers via @superrare. Stay tuned for our latest NFT. 🤠🪐https://t.co/90ETIPQ9zK,howdy weve teamed moon boot take new frontiers via stay tuned latest
"According to Walmart's recent trademark filings, the megastore is going metaverse. https://t.co/OIebrrH5Ne",according walmarts recent trademark filings megastore going
Edgar Plans' “Lil’ Heroes” is one of the top five hottest upcoming NFT collections to launch https://t.co/7LLEyKJ8XM,edgar plans lil heroes top five hottest upcoming collections launch
Edgar Plans' “Lil’ Heroes” is one of the top five hottest upcoming NFT collections to launch https://t.co/54OTnUClXf,edgar plans lil heroes top five hottest upcoming collections launch
"From Paris Hilton to Iann Dior, @superplastic brought out the big guns for its ""HEADTRIPZ"" NFT collection. https://t.co/mzS889C5ld",paris hilton iann dior brought big guns headtripz collection
"Someone, somewhere in Florida is currently bidding on an NFT of Melania Trump's hat and face. https://t.co/Nd6Lrglm1D",someone somewhere florida currently bidding melania trumps hat face
Chains NFT is more than mere collectibles: it's turning digital accessories into IRL ice. https://t.co/BaaMrRsoBv,chains mere collectibles turning digital accessories irl ice
Won't someone think of the poor Bored Ape NFT collectors? https://t.co/J2w1mcp8q8,wont someone think poor bored ape collectors
"We analyze a year that had seismic impacts for the fashion industry, from the loss of Virgil Abloh to the industry-shaking move into the metaverse. https://t.co/zF6myQyB92",analyze seismic impacts fashion industry loss virgil abloh industry shaking move
"adidas Originals has bought into Bored Ape Yacht Club and The Metaverse; now, it's dropping its own NFT collection. https://t.co/76OC4pw8me",adidas originals bought bored ape yacht club dropping collection
"adidas Originals has bought into Bored Ape Yacht Club and The Metaverse; now, it's dropping it's own NFT collection. https://t.co/uOmIeraIN9",adidas originals bought bored ape yacht club dropping collection
"Nike acquired RTFKT, signaling its desire to get into NFTs and the Metaverse. https://t.co/eEAY7GtYa2",nike acquired rtfkt signaling desire get
"Will you be taking your wedding online, into the metaverse? https://t.co/xvhQOWbBda",taking wedding online
"One of Kanye's personal 'DONDA' vests, a real Yeezy grail, just scooped a cool $75k at Christie's auction and it came with a free NFT. https://t.co/9TNluUwm8r",kanyes personal donda vests real yeezy grail scooped cool 75k christies auction came free
The metaverse is getting scented. https://t.co/tNTVXrCFsO,getting scented
Jimmy Wales talks Wikipedia's first NFT. https://t.co/3xl77oGIOv,jimmy wales talks wikipedias
"We're about to rock up in a full Balenciaga fit in the Metaverse, it's inevitable. https://t.co/93Ulh4udpe",rock full balenciaga fit inevitable
Will @Twitter finally embrace the metaverse under Parag Agrawal? https://t.co/Yrb2L55B1p,finally embrace parag agrawal
"In the Metaverse, we don't need an iPhone. https://t.co/IuMn8FgSWs",dont need iphone
Givenchy hops on the NFT bandwagon. https://t.co/KpFKjvaaaU,givenchy hops bandwagon
JW Anderson enters the metaverse. https://t.co/WrEhPcOTMn,jw anderson enters
"Finally, a more organic approach to NFT releases. https://t.co/g8XoSULzB0",finally organic approach releases
"Sorry, but we're still skeptical about #CryptoPunks and #NFT in general https://t.co/QO5Xw6flSZ",sorry still skeptical cryptopunks general
The legendary Japanese artist has entered the NFT space in a huge way (naturally). Read about his meta project right here. https://t.co/21ceHJjlxt,legendary japanese artist entered space huge way naturally read meta right
"Another day, another NFT drop. https://t.co/lmvSvX0otR",another another drop
"From two new sneaker models made in collaboration with Li-Ning, to an NFT show look, Soulland's latest Copenhagen outing had something for all. https://t.co/sRXMwWUe8G",new sneaker models made collaboration li ning show look soullands latest copenhagen outing something
The luxury label launches its first NFT. https://t.co/cP8LRecf6a,luxury label launches
The first sportswear company to wade into the NFT arena https://t.co/HkSNFz3wam,sportswear company wade arena
Flume and Zawada just dropped their very first NFT — we caught up with the duo to discuss how NFTs will change the music industry. https://t.co/ycsTvfQEzN,flume zawada dropped caught duo discuss change music industry
Blueprints from the Metaverse. 🛰 https://t.co/jJ8wFVpcyI,blueprints
hanks to Grammy-nominated producer Keyon Christ earlier this week hip hop got its first NFT release. https://t.co/oYKut48A9i,hanks grammy nominated producer keyon christ earlier week hip hop got release
NASA just joined the NFT tribe. ⌚️ https://t.co/aVGznCjxbr,nasa joined tribe
With the first-ever NFT watch 🤑 https://t.co/AUIsxVuN8R,ever watch
"“If you search popular NFT marketplaces and type in keywords like Andy Warhol, NBA, Spiderman, or Nike, you’ll inevitably be looking at some fakes."" https://t.co/VsbGbYkclE",search popular marketplaces type keywords like andy warhol nba spiderman nike inevitably looking fakes
RTFKT Studios continued to dominate the NFT fashion space 📈🤑 https://t.co/7hLhrylqzn,rtfkt studios continued dominate fashion space
Mary J. Blige’s #SuperBowl look will be available as an NFT. https://t.co/ns0ak1eRp4,mary j blige superbowl look available
"We're happy to report that sex—and some shenanigans—returned to the Sex and the City metaverse on this week’s episode of 'And Just Like That...'
https://t.co/Nv0h66half",happy report sex shenanigans returned sex city week episode like
"What is a ""metaverse company"" exactly? https://t.co/WMwClEh3VV",company exactly
"Mark Zuckerberg wants ""Meta"" to be eventually seen as a ""metaverse company."" https://t.co/c7QMwwAJ5k",mark zuckerberg wants meta eventually seen company
".@IMVU, the online metaverse and social networking site, will host a runway show Collina Strada, Mowalola, Gypsy Sport, and more on May 27 https://t.co/lB70yfyORr",online social networking site host runway show collina strada mowalola gypsy sport may 27
"Research shows women make up only about 15% of crypto users, but a number of new women-oriented groups are working to make sure they are not left out of the NFT market https://t.co/rekHQnO4IE",research shows women make 15 crypto users number new women oriented groups working make sure left market
"How well do we know Kate Moss off-duty? With three new NFT works—yes, Kate Moss is selling NFTs—Moss reveals a more intimate slice of her life. https://t.co/d8fd7p2dUP",well know kate moss duty new works yes kate moss selling moss reveals intimate slice life
"Research shows women make up only about 15% of crypto users, but a number of new women-oriented groups are working to make sure they are not left out of the NFT market https://t.co/QSme9XP993",research shows women make 15 crypto users number new women oriented groups working make sure left market
The metaverse is still an obscure tech dream. Let's decipher the future of the meta-chic. https://t.co/fhjqvrk3Kj,still obscure tech dream lets decipher future meta chic
The metaverse is still an obscure tech dream. Let's decipher the future of the meta-chic. https://t.co/lcqYxb8L2I,still obscure tech dream lets decipher future meta chic
The metaverse is still an obscure tech dream. Let's decipher the future of the meta-chic. https://t.co/ZCeSz635xB,still obscure tech dream lets decipher future meta chic
The metaverse is still an obscure tech dream. Let's decipher the future of the meta-chic. https://t.co/UvOBfYyv8Y,still obscure tech dream lets decipher future meta chic
"Photographer Jesse Frohman has launched a website to auction more than 100 pictures from ""The Last Session"" photoshoot as an NFT. A portion of all proceeds raised will go to the JED Foundation. https://t.co/YKkujrhQ34",photographer jesse frohman launched website auction 100 pictures session photoshoot portion proceeds raised go jed foundation
"From the lingerie styling to the metaverse inspiration, read on for the key takeaways from the show. https://t.co/uXnT2VQCnd",lingerie styling inspiration read key takeaways show
Harry Styles has just got the NFT treatment. https://t.co/N1qAi52bE0,harry styles got treatment
Harry Styles has just got the NFT treatment. https://t.co/2RBV56KHpo,harry styles got treatment
Harry Styles has just got the NFT treatment. https://t.co/IhKTYUCF0z,harry styles got treatment
Fashion-focused NFT platform xydrobe created a hyper-realistic digital copy of one of the viral Harry Styles cardigan by JW Anderson. https://t.co/F3GsTahiay,fashion focused platform xydrobe created hyper realistic digital copy viral harry styles cardigan jw anderson
"A piece of digital wearable art from @DolceGabbana’s Collezione Genesi NFT, first unveiled at the Alta Moda show in Venice, has now fetched huge sums at auction. https://t.co/G7bm37ez64",piece digital wearable art collezione genesi unveiled alta moda show venice fetched huge sums auction
"A piece of digital wearable art from @DolceGabbana’s Collezione Genesi NFT, first unveiled at the Alta Moda show in Venice, has now fetched huge sums at auction. https://t.co/hLsISuPtUH",piece digital wearable art collezione genesi unveiled alta moda show venice fetched huge sums auction
"A piece of digital wearable art from @DolceGabbana’s Collezione Genesi NFT, first unveiled at the Alta Moda show in Venice, has now fetched huge sums at auction. https://t.co/Kug4lv8wCp",piece digital wearable art collezione genesi unveiled alta moda show venice fetched huge sums auction
"Designed by Peter Dundas, Mary J. Blige’s #SuperBowl look will be available as an NFT. https://t.co/zzBQA8oDI6 https://t.co/lAbKeQZ34V",designed peter dundas mary j blige superbowl look available
Stefan Cooke is shaking up the metaverse monopoly with a new collection for The Sims. https://t.co/XXTOwiXnhB https://t.co/SV8omDdlnC,stefan cooke shaking monopoly new collection sims
"A first-of-its-kind virtual fashion show on IMVU, the online metaverse and social networking site, united the real-world labels Collina Strada, Gypsy Sport, Mowalola, Freak City, Bruce Glen, My Mum Made It, and Mimi Wade with expert creators https://t.co/KZLPSVq0sQ https://t.co/ORBiBmmzMR",kind virtual fashion show imvu online social networking site united real world labels collina strada gypsy sport mowalola freak city bruce glen mum made mimi wade expert creators
"IMVU, the online metaverse and social networking site, will host a runway show featuring Collina Strada, Mowalola, Gypsy Sport. Here are all the details, including how to watch: https://t.co/1wLOw1Y7lA https://t.co/yTvqBzwjXz",imvu online social networking site host runway show featuring collina strada mowalola gypsy sport details including watch
Want to sleep with Kate Moss? Her new NFT video works take viewers into her home—and her bed. We have the exclusive story https://t.co/bvpgDhRTwB https://t.co/Pd9ZaeTuou,want sleep kate moss new video works take viewers home bed exclusive story
Women are carving out a space of their own in the NFT market https://t.co/7xfWuuYRCt https://t.co/3xWZtDnWPx,women carving space market
"Photographer #HugoComte is expanding beyond the image into the Metaverse and must-have fashion
https://t.co/BmpkcmJn4l",photographer hugocomte expanding beyond image must fashion
Very Peri is a new colour invented to represent 2022’s cautious optimism and the metaverse: https://t.co/qaMTFcOMV4,peri new colour invented represent 2022 cautious optimism
"Fashion-focused NFT platform xydrobe created a hyper-realistic digital copy of one of the viral #HarryStyles cardigan by JW Anderson

https://t.co/fXXGa3tSRI",fashion focused platform xydrobe created hyper realistic digital copy viral harrystyles cardigan jw anderson
"Digital-only outfits, XR and NFTs—Vogue explores all the possibilities for fashion in the metaverse

https://t.co/ISePdkH7SI",digital outfits xr vogue explores possibilities fashion
"French luxury maison @LouisVuitton is celebrating 200 years of its founder and creator with a book, an Apple TV documentary, an NFT video game and 200 collaborations. Read on to know more about the man behind the brand. #Louis200

https://t.co/Td4P4PZ386",french luxury maison celebrating 200 years founder creator book apple tv documentary video game 200 collaborations read know man behind brand louis200
"In collaboration with @UNXD_NFT, @dolcegabbana is entering the NFT space with an exclusive collection inspired by Venice.  https://t.co/QYxJH4oMzM",collaboration entering space exclusive collection inspired venice
"Already a Vogue Business Member? All Members are automatically registered to attend. Members will receive emailed instructions on the day of the event detailing how to join the Vogue Business and Yahoo Metaverse Experience.

*Offer expires Monday 28 February midnight ET.",already vogue business member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience offer expires monday 28 february midnight et
"The Vogue Business and Yahoo Metaverse Experience will take place on 23 March and for the first time, we can show you the virtual island that will host the two-hour event. This experience is open exclusively to Vogue Business Members. https://t.co/lxP4FjH94l",vogue business yahoo experience take place 23 march time show virtual island host hour event experience open exclusively vogue business members
"Paris Fashion Week is pushing ahead with support for the metaverse and Web 3.0, the next generation of the internet, through a partnership with French tech startup @Stage11Live.
https://t.co/xGox0is5Kb",paris fashion week pushing ahead support web 3 0 next generation internet partnership french tech startup
"As fashion dives headfirst into the metaverse, where does that leave sustainability strategies?
https://t.co/suuNyVQU7A",fashion dives headfirst leave sustainability strategies
Already a Vogue Business Member? All Members are automatically registered to attend. Members will receive emailed instructions on the day of the event detailing how to join the Vogue Business and Yahoo Metaverse Experience.,already vogue business member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience
"The Vogue Business and Yahoo Metaverse Experience will take place on 23 March and for the first time, we can show you the virtual island that will host the two-hour event. This experience is open exclusively to Vogue Business Members.

https://t.co/IiAPEWERyb https://t.co/SptSD6CMbf",vogue business yahoo experience take place 23 march time show virtual island host hour event experience open exclusively vogue business members
"Already a Vogue Business Member? All Members are automatically registered to attend. Members will receive emailed instructions on the day of the event detailing how to join the Vogue Business and Yahoo Metaverse Experience.

Find out more https://t.co/XXyBvSDYRw",already vogue business member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience find
Journey into the metaverse and save 30% on Vogue Business annual membership. Offer expires on Monday 28 February. https://t.co/XXyBvSDYRw https://t.co/o3p8ApEigF,journey save 30 vogue business annual membership offer expires monday 28 february
"Fashion and luxury brands including @PacoRabanne, @Dolcegabbana, @EtroOfficial, @TommyHilfiger, @Roberto_Cavalli and @ElieSaabWorld have joined the official lineup for the first-ever Metaverse Fashion Week (MVFW), which will be hosted by @decentraland.
https://t.co/mcqBaK8bif",fashion luxury brands including joined official lineup ever fashion week mvfw hosted
"As fashion dives headfirst into the metaverse, where does that leave sustainability strategies?
https://t.co/suuNyVQU7A",fashion dives headfirst leave sustainability strategies
".@KeringGroup chairman François-Henri Pinault says the luxury group is ready and willing to experiment in the metaverse, while announcing a rebound in growth at @gucci, one of its leading digital innovators, after two years of underperformance.
https://t.co/304EhvfYZ6",chairman fran ois henri pinault says luxury group ready willing experiment announcing rebound growth leading digital innovators years underperformance
"Navigating the metaverse? The new agencies talk what to watch
We speak to the biggest agencies and new #metaverse consultancies on best-practice ushering fashion and luxury brands into the new era.

Find out more: https://t.co/ZfDybANPmz",navigating new agencies talk watch speak biggest agencies new consultancies best practice ushering fashion luxury brands new era find
"How Roksanda created a fashion week NFT. Fashion's flirtation with NFTs is building momentum. Roksanda and the Institute of Digital Fashion have created a wearable NFT for London Fashion Week.

Find out more: https://t.co/Qa8e2alv5s",roksanda created fashion week fashions flirtation building momentum roksanda institute digital fashion created wearable london fashion week find
"Already a Member? All Members are automatically registered to attend. Members will receive emailed instructions on the day of the event detailing how to join the Vogue Business and Yahoo Metaverse Experience.

https://t.co/YICEmUQx2X",already member members automatically registered attend members receive emailed instructions event detailing join vogue business yahoo experience
"Journey into the #metaverse with Vogue Business in partnership with Yahoo and Dept on 23 March. This event is open to Vogue Business Members only — sign up today and save 30% on the standard annual rate with the discount code SAVE30.

https://t.co/XXyBvSEwH4 https://t.co/U418eGFzLt",journey vogue business partnership yahoo dept 23 march event open vogue business members sign today save 30 standard annual rate discount code save30
"How to #trademark the metaverse. Intellectual property is valuable both physically and virtually. Brands, and their legal teams, are playing catch-up.

Find out more: https://t.co/tNkv0Gwxt7",trademark intellectual property valuable physically virtually brands legal teams playing catch find
"How the #Metaverse 
influenced New York Fashion Week. In virtual and blended fashion shows at New York Fashion Week, designers have added metaverse elements to the catwalk experience.

Find out more: https://t.co/6R7flEpGIu",influenced new york fashion week virtual blended fashion shows new york fashion week designers added elements catwalk experience find
"Sign-up today using the code SAVE30 and you can benefit from our coverage of the latest news, tech innovations and sustainability developments plus members get exclusive access to: the NFT tracker, the metaverse experience, the Watchlist and much more.

https://t.co/MQyXfNkmLq",sign today using code save30 benefit coverage latest news tech innovations sustainability developments plus members get exclusive access tracker experience watchlist much
"Prada to dress gamers in Riders Republic sports world. Prada is pushing further into the metaverse via a partnership with French gaming company Ubisoft’s popular outdoor winter sports game.

Find out more: https://t.co/DDLyaTCZHj",prada dress gamers riders republic sports world prada pushing via partnership french gaming company ubisoft popular outdoor winter sports game find
"Gucci plans virtual world for Gen Z on The Sandbox. Housed under the brand’s Gucci Vault concept for NFT launches, vintage Gucci and emerging labels, the space will host immersive experiences in the metaverse.

Find out more: https://t.co/MqLXKx7ONV",gucci plans virtual world gen z sandbox housed brand gucci vault concept launches vintage gucci emerging labels space host immersive experiences find
"Sign-up today using the code SAVE30 and you can benefit from our coverage of the latest news, tech innovations and sustainability developments plus members get exclusive access to: the NFT tracker, the metaverse experience, the Watchlist and much more.

https://t.co/SJ8JdiLlIq",sign today using code save30 benefit coverage latest news tech innovations sustainability developments plus members get exclusive access tracker experience watchlist much
"The fashion exec’s guide to the metaverse. The #metaverse is here. We outline and explain the key technologies and projects most influential to fashion across digital clothing, mixed reality, gaming, #NFTs and beyond.

Find out more: https://t.co/Vcrnp8TwS9",fashion exec guide outline explain key technologies projects influential fashion across digital clothing mixed reality gaming beyond find
"How the #metaverse influenced #NewYorkFashionWeek. In virtual and blended fashion shows at New York Fashion Week, designers have added metaverse elements to the catwalk experience. 

Find out more: https://t.co/hhNHTgGvZv",influenced newyorkfashionweek virtual blended fashion shows new york fashion week designers added elements catwalk experience find
